area,target,factor,model,n_train,n_test,n_total,intercept,slope,R2,RMSE,MAE,MAPE
Area1,load_min,最高温度,linear_full,1094,,1094,1897.5633079575996,111.67420380367699,0.41211055957421516,853.9306526140638,622.7717919933938,17.040279585732154
Area1,load_min,最高温度,linear_2014_test,729,365.0,1094,1989.484669364901,103.42682525615463,0.32808148880080934,1007.7280933501117,802.1490105358617,19.409478525519972
Area1,load_min,最高温度,quadratic_2014_test,729,365.0,1094,,,0.4201653550962732,936.1321126349237,752.4706436296287,18.361394514261374
Area1,load_min,最低温度,linear_full,1096,,1096,2410.3033564717807,122.44020867982134,0.4542015333324614,822.1096599272869,593.7452213558483,16.273054179918685
Area1,load_min,最低温度,linear_2014_test,731,365.0,1096,2498.996214285577,111.19457039385803,0.3848125982343037,964.2480727656244,784.7055447847697,18.531664196204083
Area1,load_min,最低温度,quadratic_2014_test,731,365.0,1096,,,0.48762436179363877,879.9931653102916,740.8160810216866,17.55239546032856
Area1,load_min,平均温度,linear_full,1095,,1095,2060.4968645775116,122.70475363321128,0.455172856884805,820.5962108804868,592.2905267769663,16.274548537740955
Area1,load_min,平均温度,linear_2014_test,731,364.0,1095,2157.994230833548,112.76834365619959,0.38108040510953867,966.0570062472892,780.1932454403006,18.745678802390724
Area1,load_min,平均温度,quadratic_2014_test,731,364.0,1095,,,0.4840090308273107,882.0773869579185,728.5484884712145,17.639307269553104
Area1,load_min,相对湿度,linear_full,1095,,1095,4133.487695677903,9.645829487347621,0.01395612269467772,1103.9470917844787,831.1622879722539,21.983722584492664
Area1,load_min,相对湿度,linear_2014_test,731,364.0,1095,4125.967411570538,7.7630153807989215,-0.1066340819160112,1291.777330905268,1008.9289663198416,22.914612273695283
Area1,load_min,降雨量,linear_full,1094,,1094,4819.236043071004,5.991651111817205,0.00680764640922904,1107.6648645320386,833.1519515060601,21.975112845439458
Area1,load_min,降雨量,linear_2014_test,730,364.0,1094,4667.883590075874,7.689071314407987,-0.12458115901527411,1302.2100411949848,1021.6797053400724,23.265164783510826
Area1,load_mean,最高温度,linear_full,1094,,1094,3156.2295830206176,142.44028008956695,0.3695546243079415,1191.0939267198455,851.279869637257,17.08198854784731
Area1,load_mean,最高温度,linear_2014_test,729,365.0,1094,3149.1252317543394,137.0113016556838,0.2793513167489803,1379.04995153167,1088.8132447568892,19.821640769805633
Area1,load_mean,最高温度,quadratic_2014_test,729,365.0,1094,,,0.3599348474458255,1299.6616085987807,1040.811533674905,18.999370457276232
Area1,load_mean,最低温度,linear_full,1096,,1096,3808.777599055053,156.24755240498348,0.4077072002513247,1153.509276237895,818.0634308375967,16.406998173288613
Area1,load_mean,最低温度,linear_2014_test,731,365.0,1096,3849.9133679652305,146.00429776952438,0.34169617640100713,1318.0484885049282,1062.730216397745,18.858627651814245
Area1,load_mean,最低温度,quadratic_2014_test,731,365.0,1096,,,0.4278264277520334,1228.8025273276442,1027.0621958567394,18.205308241146057
Area1,load_mean,平均温度,linear_full,1095,,1095,3360.558472382852,156.66998853279998,0.40881305840733273,1151.629490689517,810.7715229956641,16.34092026422
Area1,load_mean,平均温度,linear_2014_test,731,364.0,1095,3385.422864674614,148.81117316903737,0.331772070534464,1326.91350297572,1058.9975036489332,19.12566931057732
Area1,load_mean,平均温度,quadratic_2014_test,731,364.0,1095,,,0.4181335910705525,1238.2032650299286,1016.9689034711535,18.382355270809402
Area1,load_mean,相对湿度,linear_full,1095,,1095,6020.192047722637,12.143071668388972,0.012185470154438383,1488.6344538540077,1097.5783112564982,21.267897079172133
Area1,load_mean,相对湿度,linear_2014_test,731,364.0,1095,6063.261929152368,9.163920908543991,-0.08711607889782469,1692.4594081556456,1304.5746446657358,22.32207022472171
Area1,load_mean,降雨量,linear_full,1094,,1094,6885.475023545117,7.004057261783486,0.005119197656865748,1494.4381259786,1100.55339987553,21.277455628512087
Area1,load_mean,降雨量,linear_2014_test,730,364.0,1094,6696.84915773607,10.012425490343173,-0.10958517745036844,1709.8602850197187,1318.8943269939084,22.603888154025594
Area2,load_max,最高温度,linear_full,1096,,1096,4234.064287101754,190.00146468263765,0.4621679137567083,1360.8015419690134,1048.103030244773,12.965320701977642
Area2,load_max,最高温度,linear_2014_test,731,365.0,1096,4296.981592125357,178.30682311681588,0.3342026346686835,1656.373852096376,1310.721113405441,14.618795936727908
Area2,load_max,最高温度,quadratic_2014_test,731,365.0,1096,,,0.4693605925036475,1478.7238568099028,1219.3347454526538,13.702120560754674
Area2,load_max,最低温度,linear_full,1092,,1092,5523.491934077981,200.00642001771234,0.47336273215716806,1348.9020939801474,1055.1704920354227,12.930760847637512
Area2,load_max,最低温度,linear_2014_test,727,365.0,1092,5462.5281515238985,187.96820987510276,0.34618575153565256,1641.4003447834486,1331.9007352873425,14.413241651226732
Area2,load_max,最低温度,quadratic_2014_test,727,365.0,1092,,,0.48592854771274974,1455.4559752801567,1237.4402727980698,13.499848627395819
Area2,load_max,平均温度,linear_full,1096,,1096,4674.314544814141,209.3843448417806,0.4984970972405842,1314.0387253261601,1017.7475736242528,12.557571998709491
Area2,load_max,平均温度,linear_2014_test,731,365.0,1096,4691.448580643306,196.3251321518881,0.37435783414881807,1605.647972667245,1299.5844240768515,14.274041394380092
Area2,load_max,平均温度,quadratic_2014_test,731,365.0,1096,,,0.5284871966235547,1393.9078852702141,1209.0907814474613,13.383815761448039
Area2,load_max,相对湿度,linear_full,1095,,1095,7520.871749795286,21.71026820283659,0.017009793641477144,1836.7330102488354,1439.1546733325108,17.324373891957613
Area2,load_max,相对湿度,linear_2014_test,731,364.0,1095,7069.033422342434,23.758679389680786,-0.16219518505596864,2182.9772273302465,1640.4265574360302,17.271880272632455
Area2,load_max,降雨量,linear_full,1095,,1095,9136.301125960354,18.162974500857054,0.017757937817779346,1839.5423583817712,1444.4479228006157,17.32448123811823
Area2,load_max,降雨量,linear_2014_test,730,365.0,1095,8877.59168808422,15.93579326388686,-0.14029824335697572,2167.68692240399,1613.665713329216,17.019337466789754
Area2,load_min,最高温度,linear_full,1096,,1096,1262.415023845385,139.2962744767705,0.5301863387798895,870.5674809815337,665.7638974421835,23.166631956096527
Area2,load_min,最高温度,linear_2014_test,731,365.0,1096,1445.8721985608818,125.5233977108299,0.4182879414976155,1083.2321153520284,839.7591299688579,16.59099754700338
Area2,load_min,最高温度,quadratic_2014_test,731,365.0,1096,,,0.5772236080260282,923.4701418686285,727.2780276567432,14.57364133902975
Area2,load_min,最低温度,linear_full,1092,,1092,2223.225257635113,145.83466183875578,0.5370798835527084,865.7092785145418,667.362886304445,23.397061001857818
Area2,load_min,最低温度,linear_2014_test,727,365.0,1092,2245.791063062789,133.48554208917744,0.4098897182923916,1091.0234491517133,868.4205738081951,16.61241706645894
Area2,load_min,最低温度,quadratic_2014_test,727,365.0,1092,,,0.5825671623908626,917.6156231309985,756.5887780289504,14.562676375679152
