area,fold,origin,model,MAE_MW,RMSE_MW,MAPE_pct,Bias_MW
Area1,11,2014-10-12,lag7,248.45139014285718,285.7968020614368,3.4607880915678826,207.684093
Area1,11,2014-10-12,avg4,513.4995962857143,584.6127609887075,7.150248345044814,378.12954314285713
Area1,11,2014-10-12,weighted4,511.5354436571429,588.1428226721349,6.7799052745959525,139.49726428571446
Area1,11,2014-10-12,hgb_fixed_lags,385.151665503593,439.46204889844955,5.1906826357858575,352.9555022652041
Area1,12,2014-11-09,lag7,157.01547142857143,187.8467468456958,2.3662218840349425,62.814818857142846
Area1,12,2014-11-09,avg4,516.4798721785714,541.4512369501325,7.498495695225296,516.4798721785714
Area1,12,2014-11-09,weighted4,430.11348297142877,457.003042161404,6.1897814937648485,430.11348297142877
Area1,12,2014-11-09,hgb_fixed_lags,237.52477464360882,293.7044357270212,3.355557711714692,222.90137932244892
Area1,13,2014-12-07,lag7,124.23592342857141,174.74394916210713,1.9692608816045183,-98.13870199999998
Area1,13,2014-12-07,avg4,100.03368650000004,121.56116359513102,1.4196917745967554,64.59679600000005
Area1,13,2014-12-07,weighted4,96.28740250000014,117.46485791541545,1.3914627094303658,46.638491014285904
Area1,13,2014-12-07,hgb_fixed_lags,90.8467906107874,114.9656091277917,1.4317509921609965,-64.77128384116584
Area2,1,2014-01-05,lag7,473.52895278125004,803.0079065019719,6.997270822455707,-330.8672160848215
Area2,1,2014-01-05,avg4,179.8485456104911,224.8511646026001,2.665684303680898,79.16938533742562
Area2,1,2014-01-05,weighted4,219.8450253171132,302.4612983120908,3.256311015786126,19.103694865029922
Area2,1,2014-01-05,hgb_fixed_lags,269.25188371594743,332.02643450487136,4.189625012207526,249.66955016697716
Area2,2,2014-02-02,lag7,900.4833916488094,1099.0839640954885,25.267086399283027,-61.970209279761896
Area2,2,2014-02-02,avg4,1962.610850660342,2182.4486905222116,61.19011137826445,1962.5641516558778
Area2,2,2014-02-02,weighted4,1482.2457993436012,1732.2431863591682,47.11007951895099,1428.3905199346725
Area2,2,2014-02-02,hgb_fixed_lags,473.9836557930352,535.0175487366606,15.01872751577963,374.2684533625244
Area2,3,2014-03-02,lag7,252.62151205654763,308.5806141645376,3.718782080853496,-208.44037498809527
Area2,3,2014-03-02,avg4,1088.9560083876488,1149.4246897439198,16.189495703346214,-1088.9560083876488
Area2,3,2014-03-02,weighted4,611.7657122846725,661.0898755087153,9.017099769614582,-611.7657122846725
Area2,3,2014-03-02,hgb_fixed_lags,216.78807891581312,259.3492145436807,3.2962537352110703,-93.66361661298147
Area2,4,2014-03-30,lag7,524.5702476979167,813.4940105317329,8.64251807124511,467.90275964732143
Area2,4,2014-03-30,avg4,390.7912000799851,686.2450160892581,6.544025820634071,297.3126037823661
Area2,4,2014-03-30,weighted4,418.98644541949415,709.2316370220835,6.954525629319313,347.5321552239584
Area2,4,2014-03-30,hgb_fixed_lags,312.24096768512544,425.21018878011233,4.882675394301757,-57.59714026719778
Area2,5,2014-04-27,lag7,1035.3904883169644,1453.1394323894942,18.482957063828195,1031.9090872991071
Area2,5,2014-04-27,avg4,881.4832406968006,1306.7779975395297,15.862997452737702,586.6554463999256
Area2,5,2014-04-27,weighted4,898.7813772226191,1374.1868720319935,16.337353824146383,774.2169531017859
Area2,5,2014-04-27,hgb_fixed_lags,507.40499591112297,693.657604618575,9.389156448233196,441.17972984975773
Area2,6,2014-05-25,lag7,1215.2277704880953,1300.4959936202963,13.122238283135216,-1215.2277704880953
Area2,6,2014-05-25,avg4,1884.0959618165923,1978.199355845642,20.118652206111523,-1884.0959618165923
Area2,6,2014-05-25,weighted4,1588.7891371407736,1649.818315698439,17.101263644605254,-1588.7891371407736
Area2,6,2014-05-25,hgb_fixed_lags,1035.1312826637527,1092.599988940341,11.124337273565752,-1035.1312826637527
Area2,7,2014-06-22,lag7,959.1410118110119,1130.3627856576784,10.782076313101777,607.7487786116072
Area2,7,2014-06-22,avg4,558.123785530506,689.3537057383445,5.780220555771244,-168.46513034970226
Area2,7,2014-06-22,weighted4,595.0344631949405,713.1749435882415,6.396804305749251,-16.965367033928228
Area2,7,2014-06-22,hgb_fixed_lags,738.4612679686651,928.74483603933,7.659206111487283,-369.9017715628291
Area2,8,2014-07-20,lag7,556.3004911815476,654.2394382925053,5.7662757864350205,22.12572078571427
Area2,8,2014-07-20,avg4,573.39375684375,649.7769841017587,5.908425721894006,59.22185018080361
Area2,8,2014-07-20,weighted4,585.8243947933037,648.3145469447744,6.160447683056504,127.54578868080382
Area2,8,2014-07-20,hgb_fixed_lags,696.3598952003847,825.8622096092614,6.7751600307139475,-353.85042337956975
Area2,9,2014-08-17,lag7,397.9305809806548,507.7258449166114,4.6746688495295015,337.57803694791664
Area2,9,2014-08-17,avg4,847.0055031030507,1074.0992541134187,9.975472751348702,753.2686987235863
Area2,9,2014-08-17,weighted4,730.0290355168156,910.5350337018663,8.617616933142918,681.1810772611609
Area2,9,2014-08-17,hgb_fixed_lags,776.753852733523,980.2792667592786,9.16788445122172,490.86683174041366
Area2,10,2014-09-14,lag7,1004.6961006160716,1534.7709043610598,10.107706574652862,-324.72965324107145
Area2,10,2014-09-14,avg4,565.9235764605654,710.3995412962652,5.830281569477927,-18.155320250000038
Area2,10,2014-09-14,weighted4,729.4913928662203,903.5897089707539,7.542965278664764,-9.670992106696238
Area2,10,2014-09-14,hgb_fixed_lags,782.1950057629617,1032.321919515379,7.616807933238112,-496.3308780810333
Area2,11,2014-10-12,lag7,318.1527960178571,378.2221958668419,4.252813458591785,221.07092224404767
Area2,11,2014-10-12,avg4,1079.2172843854166,1133.7657762988085,15.003087511448413,1079.2172843854166
Area2,11,2014-10-12,weighted4,771.2748787093751,859.5279305759628,10.950722814800484,767.7666894959823
Area2,11,2014-10-12,hgb_fixed_lags,631.2706962905028,740.9562378014095,8.621197300129692,628.21510504582
Area2,12,2014-11-09,lag7,195.14479991815477,302.38526580354124,3.0738960525971413,154.47969286755955
Area2,12,2014-11-09,avg4,756.3546621365329,806.5788667354567,11.190002432317742,756.3546621365329
Area2,12,2014-11-09,weighted4,663.686255170536,713.2719464761209,9.830784907535927,663.686255170536
Area2,12,2014-11-09,hgb_fixed_lags,310.13445958915463,413.17670143631295,4.487474662260891,286.44743769566753
Area2,13,2014-12-07,lag7,177.96041098363094,232.87047376689995,2.685258632108631,-95.3605075877976
Area2,13,2014-12-07,avg4,123.57006992522317,156.43345540513886,1.7021817356448916,27.827745943080345
Area2,13,2014-12-07,weighted4,127.89215586220239,161.81600844946172,1.7944719996230725,34.758041611607304
Area2,13,2014-12-07,hgb_fixed_lags,153.0423797564177,190.67370154057207,2.2603425130344905,-87.21034369000559
